Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
24065,2.0,Good,H,VS2,63.8,59.0,7.88,8.01,5.07,18023
14716,0.42,Ideal,G,VVS2,62.1,57.0,4.8,4.77,2.97,1103
7428,0.32,Ideal,D,SI2,61.7,55.0,4.4,4.38,2.71,612
25195,0.32,Ideal,G,SI1,63.0,56.0,4.38,4.35,2.75,612
12085,0.5,Ideal,I,VVS2,60.5,57.0,5.14,5.17,3.12,1640
5806,2.16,Very Good,I,SI1,58.5,60.0,8.49,8.54,4.98,17772
6374,0.9,Fair,I,VS2,65.4,60.0,6.03,5.96,3.93,3246
1873,0.31,Premium,G,VS2,59.2,60.0,4.42,4.47,2.63,544
14456,0.31,Very Good,G,VVS1,62.8,57.0,4.3,4.33,2.71,761
6670,1.2,Premium,H,VS2,62.4,57.0,6.73,6.67,4.18,6048
10124,0.52,Ideal,E,SI1,62.4,58.0,5.16,5.13,3.21,1656
10429,0.37,Premium,E,VS2,59.5,59.0,4.71,4.64,2.78,1041
18576,2.0,Very Good,J,SI1,61.9,59.0,7.96,8.0,4.94,11404
7343,0.31,Ideal,D,VS2,62.5,56.0,4.31,4.36,2.71,734
8950,0.9,Very Good,D,SI1,62.8,59.0,6.06,6.1,3.82,4068
10626,0.23,Ideal,F,VVS2,61.6,54.0,3.97,3.99,2.45,650
4015,0.9,Ideal,F,SI1,61.3,56.0,6.21,6.23,3.81,4724
2505,0.79,Premium,H,VVS2,62.6,58.0,5.96,5.9,3.71,2827
15804,0.23,Very Good,E,VVS2,63.7,55.0,3.87,3.89,2.47,485
26814,0.88,Ideal,E,SI2,62.2,57.0,6.08,6.2,3.82,3329
14098,1.48,Good,G,IF,59.8,61.0,7.54,7.34,4.45,15164
4618,0.41,Premium,D,VVS2,61.2,62.0,4.82,4.78,2.94,1356
348,0.42,Ideal,G,VS2,61.6,56.0,4.82,4.83,2.97,847
7634,0.93,Very Good,H,SI2,61.9,57.0,6.25,6.31,3.89,3452
13601,0.36,Good,H,VS2,63.7,55.0,4.49,4.52,2.87,568
6681,1.04,Premium,D,VS1,62.3,59.0,6.48,6.39,4.01,8341
14839,2.02,Ideal,J,SI2,62.2,57.0,8.11,8.18,5.07,12736
13409,1.03,Very Good,H,SI1,63.5,53.0,6.43,6.46,4.09,4573
18545,1.14,Premium,D,SI2,60.3,58.0,6.79,6.71,4.07,4972
11421,0.39,Premium,F,VVS1,59.7,58.0,4.75,4.73,2.83,1290
3690,0.71,Very Good,H,SI1,62.4,58.0,5.67,5.7,3.55,2076
1083,0.73,Fair,F,VS1,58.6,66.0,5.92,5.88,3.46,3002
5027,0.33,Good,D,VS2,61.8,61.0,4.4,4.44,2.73,652
25447,0.35,Very Good,F,SI2,61.2,55.0,4.56,4.57,2.79,494
25385,0.82,Very Good,G,SI2,63.4,55.0,5.96,5.93,3.77,2232
10635,1.19,Ideal,J,SI1,62.0,56.0,6.8,6.77,4.21,4678
20087,0.57,Premium,F,SI1,60.7,58.0,5.36,5.32,3.24,1571
2116,1.5,Very Good,H,SI2,62.0,63.0,7.28,7.24,4.5,7291
18057,1.06,Very Good,H,VS1,61.9,58.0,6.57,6.49,4.04,5627
2455,1.12,Premium,E,SI1,58.8,61.0,6.8,6.74,3.98,5547
5394,1.02,Ideal,G,SI1,62.4,55.0,6.43,6.48,4.03,5016
15719,1.04,Ideal,F,VVS2,61.6,57.0,6.47,6.51,4.0,10804
18686,1.0,Ideal,H,VVS2,62.9,55.0,6.34,6.39,4.0,6607
2877,1.54,Good,E,SI1,63.8,57.0,7.31,7.34,4.67,12779
6397,2.28,Ideal,J,SI1,61.6,57.0,8.5,8.43,5.21,12755
2805,1.53,Fair,J,VS2,64.7,58.0,7.24,7.22,4.68,6659
6447,1.5,Premium,G,VS1,61.2,59.0,7.32,7.36,4.49,14105
15104,0.5,Very Good,G,SI1,61.1,57.0,5.14,5.2,3.16,1098
12148,0.36,Ideal,H,VS2,61.0,56.0,4.61,4.63,2.82,587
609,0.42,Very Good,G,VS1,59.4,59.0,4.86,4.9,2.9,921
19804,1.01,Ideal,D,SI1,61.2,57.0,6.44,6.47,3.95,5443
4819,1.22,Ideal,I,SI1,60.2,58.0,6.96,6.9,4.17,5807
24459,0.71,Very Good,H,VVS1,62.7,59.0,5.65,5.67,3.55,2938
1849,1.03,Ideal,G,SI2,62.3,59.0,6.44,6.46,4.02,4928
26686,0.35,Ideal,F,VS2,61.9,54.0,4.54,4.5,2.8,906
19050,1.22,Ideal,G,VS1,62.5,57.0,6.82,6.77,4.25,8608
17375,1.55,Very Good,I,VS1,59.0,58.0,7.56,7.63,4.48,10711
14768,0.51,Very Good,G,VS1,62.9,58.0,5.05,5.1,3.19,1656
10660,2.53,Ideal,I,SI1,62.4,57.0,8.68,8.59,5.39,16709
4097,0.41,Ideal,G,VVS1,61.6,57.0,4.75,4.77,2.93,1055
22496,0.72,Very Good,G,SI1,62.8,60.0,5.78,5.68,3.6,2396
13418,0.35,Very Good,H,SI1,63.1,58.0,4.51,4.46,2.83,630
12621,0.3,Ideal,F,VS2,62.0,55.0,4.33,4.31,2.68,776
8367,1.5,Premium,F,VS2,60.9,60.0,7.42,7.35,4.5,13853
5669,0.7,Ideal,I,VS2,61.4,56.0,5.72,5.75,3.52,2270
12714,1.14,Ideal,G,VVS2,62.3,55.0,6.64,6.72,4.18,8743
11259,0.41,Ideal,E,SI2,60.7,57.0,4.81,4.85,2.93,683
5502,0.73,Ideal,H,SI1,62.8,57.0,5.77,5.72,3.61,2330
18072,0.3,Premium,H,VS1,62.5,58.0,4.27,4.34,2.69,526
11658,0.36,Very Good,G,VS1,61.8,56.0,4.57,4.6,2.84,741
3375,0.32,Ideal,I,VS1,62.4,54.0,4.39,4.36,2.73,648
23324,0.25,Ideal,F,VS1,61.8,57.0,4.07,4.09,2.52,436
25366,1.41,Premium,H,VS2,61.2,60.0,7.17,7.21,4.4,8654
2646,0.36,Premium,F,VVS2,62.7,58.0,4.51,4.55,2.84,766
8202,0.31,Ideal,G,SI2,60.5,57.0,4.36,4.4,2.65,408
15546,0.7,Very Good,E,VS1,62.2,57.0,5.63,5.68,3.52,3063
25737,0.83,Fair,G,SI2,64.4,57.0,5.93,5.86,3.8,2386
25271,0.42,Premium,E,VS2,61.0,59.0,4.85,4.82,2.95,1024
9247,0.3,Fair,F,SI1,64.6,56.0,4.27,4.25,2.75,599
14211,0.3,Premium,D,SI1,62.5,58.0,4.27,4.31,2.68,552
20695,0.7,Fair,D,VS2,65.2,59.0,5.58,5.55,3.63,2560
19944,0.3,Very Good,H,VVS1,63.1,54.0,4.34,4.28,2.72,819
18089,1.25,Premium,G,VVS1,62.0,58.0,6.96,6.87,4.29,7389
17686,0.33,Ideal,F,VVS1,62.0,59.0,4.42,4.45,2.75,829
7755,1.16,Ideal,I,VS2,61.5,57.0,6.75,6.78,4.16,5207
2055,0.7,Premium,G,VS2,62.5,55.0,5.69,5.64,3.54,2479
982,1.01,Ideal,D,SI2,61.6,57.0,6.42,6.46,3.97,4916
